レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★7,RAVE,"REWD ""B159 mix"" // (kei-transcended 7)",wint,8597,7536 (87%),57591,6.69
SP★7,Trance,Pluto -Maniac7-,midori (obj.mp),8310,6303 (75%),65619,7.89
SP★7,ROCOCO TEK,dance in the dark [7key-EX],作曲/GEMA BMS/GYAON,8306,7171 (86%),57444,6.91
SP★7,SCOUSE HOUSE,HE is an Energizer (7keys sarather),Mr.ABC,8251,5232 (63%),94952,11.5
SP★7,art core,景色の境界 -EX-,A.I.TOYS,8182,6257 (76%),56198,6.86
SP★7,Dutch Trance,Astrograph -damepo7-,Syatten / obj:midori,8138,6665 (81%),57899,7.11
SP★7,Dissociative Identity Disorder,HAELEQUIN [EX],orangentle / deadblue238 / Note:薄杏,8110,7042 (86%),76476,9.42
SP★7,TRANCE AMBIENT (MANIAC),marine snow,LaValse (obj.mp),7905,6427 (81%),55364,7
SP★7,ORIENTAL GROOVE,code : endymion [FRS Mk.1],タリキラベンダー metamorphosing LOKI / obj:あーさん,7898,6605 (83%),52175,6.6
SP★7,Hard Rock,Romancing Sa･Ga3 ラストバトル RockArrange (AFOTHER),BMS:金ラメタキシード/MIDI:YNG-MK＆ヴァイス君 (7linear.SHOCK.C) / black train,7812,6065 (77%),72903,9.33
SP★7,PSYCHEDELIC TRANCE,Cosmic Raid [Extreme],xellox / Symphonian,7805,6394 (81%),53020,6.79
SP★7,ANIME POP,ETERNAL DRAIN 「第一話 発狂譜面」,カラフル・サウンズ・ポート / 脚本:薄杏,7732,6620 (85%),98779,12.77
SP★7,Instrumental (Maniac7),am Ende -Wiedersehen-,Psyche/A-zert,7588,6359 (83%),46787,6.16
SP★7,PROGRESSIVE,orbit （瑠野亜's edition） [MANIAC],Urban Techno Cafe arrange by RYO1,7255,6095 (84%),51636,7.11
SP★7,Trance/7key 2DXtic EX,藍煉の人形 -EX-,-45 obj:arufis,7156,5872 (82%),52164,7.28
SP★7,d'n'b,Vlll -Lachesis- [Another],Yusuke Takeuchi /+-,7093,6341 (89%),30842,4.34
SP★7,NRG,orbit (7keyA mania of mania mix),Urban Techno Cafe / obj:arufis,6904,6073 (87%),46904,6.79
SP★7,Mixture,I believe -EX-,Gun string,6718,5719 (85%),50142,7.46
SP★7,JUMPSTYLE,DEEP MARINE STRIKER -DEEP SINKER-,ZUN Remixed by rider obj:Ark-Z,6482,5292 (81%),65759,10.14
SP★7,Last Day,Meteor Lights [JUDGMENT],s-don / kkkfff2/obj.poly hi-low,6146,5438 (88%),33546,5.45
SP★7,OMNIVERSE,事象の地平 [F],wa. obj:Fender,6067,5011 (82%),56712,9.34
SP★7,ArtCore,sola [Fi],nmk obj:Fender vs 秘密,6007,5542 (92%),50029,8.32
SP★7,pop,Moon phase Encounter (月面旅行),ねこみみ魔法使い obj:WAYA,5969,5566 (93%),30483,5.1
SP★7,PoPStepS,P-ChicK-ParK(・◇・) [ANOTHER+],ピヨスケ / air,5861,4515 (77%),47192,8.05
SP★7,Solitude Melodic Trance,心壊のアガルマトフィリア [F],SioN / 篠乃ちよ obj:Fender,5690,5178 (91%),50204,8.82
SP★7,bigbeat(7key),witchcraft -EX7-,paraoka / BGA ers /obj.D-BLUE,5358,4679 (87%),39982,7.46
SP★7,HAPPY HARD GENOXIDE,世界殺戮ブラッドローズ [ROSEBATTLER],LiA obj:ラピス,5335,4963 (93%),37681,7.06
SP★7,Cut up Trance,Neural Network [Append],Yu^ta w. Satoguchi Yu / obj:Azel,5252,4936 (93%),22647,4.31
SP★7,Flat design,ロリキート [タイポグラフィ],黄泉路テヂーモ / 出前×篠乃ちよ obj. B_K,5150,4882 (94%),30903,6
SP★7,GOODCORE,GOODMEN [踏十里駅から徒歩10分],EBIMAYO / obj. B_K 柏駅東口から徒歩10分,5136,4760 (92%),36855,7.17
SP★7,Ethnic House,Danse de Romani [Professional],MUE / mov : Lyrebird Ferdinant obj:krg vs 秘密,4399,3889 (88%),24132,5.48
SP★7,Short story,沈んだ思い出、打ち上げて [Epic_fix],海秋(Umiai) obj:0war1a,3949,3677 (93%),22937,5.8
SP★7,INFLUX,At the edge of dreams (FIERCE),α-2,3887,3584 (92%),18183,4.67
SP★7,World/Crossover,Musica de Aves [windmill],Chitose (Movie:zue-row) / obj:ラピス vs K-SPIN,3439,3334 (96%),12632,3.67
SP★7,ELECTRONIC DANCE,Another [transcend],polycube mov : レク / obj : ELIGOS,2650,2557 (96%),9998,3.77
