レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★10,PROGRESSIVE JAZZ,Vacant Between You and Me (FOOLISH),Musical Masterpiece,5025,4173 (83%),28121,5.59
SP★10,LIQUID FUNK,Ready to Go (^ω^),fen/obj:BOKKI,4979,3821 (76%),57139,11.47
SP★10,CYBER ENERGETIC TRANCE,Central Nucleus [HARDEST],8284 / 差分 赤い人,4884,4359 (89%),31799,6.51
SP★10,kawaiicore,Harmony (*｡> × <｡*人) ☆ﾟ.*･｡ﾟ,Lime / 温泉の力 obj:ELIGOS,4703,4462 (94%),29669,6.3
SP★10,Instrumental,Rainy [Runother],Yu^ta obj:K-SPIN,4568,4307 (94%),24650,5.39
SP★10,Suffrutic Requiem,suffruti [BLOODY FATE],Black Lotus obj:BAECON,4510,4199 (93%),30492,6.76
SP★10,SCHRANZ,TIME LIMIT (bms edit) [7key 2052 fix],ZUN / Arranged by SANY-ON / obj:発汗BMS,4439,3184 (71%),39343,8.86
SP★10,White Canvas / trancecore,Snowdrop [nova],urimu / obj:nov Movie:inukoro,4259,3878 (91%),25916,6.08
SP★10,afterimage,スペクトラム -maniac-,エルリ鳥 /obj.s,4220,3998 (94%),20635,4.88
SP★10,CYBER POP,Granblaze 【Sympho】,カラフル・サウンズ・ポート/obj.sitoras,4214,3954 (93%),26912,6.38
SP★10,Wet Rock,Unexpected rewind [Messiah],(^v^人) S(人cwe)S,4097,3754 (91%),19737,4.81
SP★10,エナジェテック,to Firmament [F],赤城 obj:Fender,3749,3500 (93%),15715,4.19
SP★10,[Goa/Gore],性的猟奇的無意味 [7key_EX],tarolabo / OK@GE,3439,3149 (91%),20275,5.89
SP★10,MUSIC GAME TRANCE,Shooting Silver Bullet [EX],おみー,3429,3121 (91%),28421,8.28
SP★10,マジックジャズ,Beatrice [MANIAC],xi / obj:sarao3,3414,3107 (91%),15139,4.43
SP★10,SPEED CORE,Buuuuuuurstraffic [1TB],HOUJIROU obj : 双葉杏,3145,2623 (83%),23384,7.43
SP★10,ALPHA SEQUENCER,RISE AGAIN (ANOTHER),α-1,2830,2222 (78%),31012,10.95
