レベル,ジャンル,タイトル,アーティスト,プレイ人数,クリア人数,プレイ回数,平均プレイ回数
SP★5,psychedelic,Extinction and reproduction [SP Ex],sept,9064,8546 (94%),40991,4.52
SP★5,Euphoric Trance,oceanbird [benefic7],Xacla / TOHRU MiTSUHASHi / obj:sok,9009,7676 (85%),59656,6.62
SP★5,Super Bombeat (4622),おどれフルファイアー,kagerow,8570,7155 (83%),101536,11.84
SP★5,J-Core,fragments J-CoreRemix [E],Cosmos remix by polysha obj:Fender,7701,7027 (91%),62004,8.05
SP★5,euro trance,sensitive (AFOTHER),white crystal / black train,7651,6892 (90%),54711,7.15
SP★5,和製円舞曲,花鳥風月 [Crystal],Phorni // obj:arnain,7386,6996 (94%),40874,5.53
SP★5,MUST DIENING,宇宙のMI'Sキッチン [EX7],ねこみりん feat.みゆ/さ BGA:HYOUTAN/ILL:電信柱＆石王マサト/SUP:SOA＆spine,7381,6482 (87%),50675,6.86
SP★5,Dirt Art,-+ [dy/dx],daisan obj. DK,7341,6831 (93%),61432,8.36
SP★5,Mirage Story,平衡世界 [Another+],daisan/obj_jakko,7221,6735 (93%),49213,6.81
SP★5,IDOL SONG / NEW GENERATION,ベストフレンド［smiling］,渋谷凛 / D,7104,6713 (94%),69540,9.78
SP★5,05' shibuyakei,PLASTIC GIRLS (ft. Seorryang) [Stripe],wigen mov.Lepusnette / obj:LTFE♪,6830,6513 (95%),38270,5.6
SP★5,トレンディーハッピーハードコア,THE ONE [EX],ueotan / Photonskyto / Note:薄杏,6796,6281 (92%),46697,6.87
SP★5,ENERGETIC TRANCE,The Island of Albatross [EXTRA],anubasu-anubasu / Note:薄杏 BGA by 出前,6510,5572 (85%),55272,8.49
SP★5,chiptune,彼女の言い分 -ﾋﾟｺﾋﾟｺedit- [だって～でも],ねこみみ魔法使い / obj: Alf for 柴崎芦花,6228,5466 (87%),64725,10.39
SP★5,J-ROCK,Crescent Edge MX,Grand thaw,5749,5454 (94%),21808,3.79
SP★5,FUNK,Funny Funky Freaky [HARD],mommy /差分 赤い人,5748,5504 (95%),35183,6.12
SP★5,PIANO SOLO,"Precious!!! [7key,Bonus]",mommy,5131,4839 (94%),26861,5.23
SP★5,Darkpsy,YAKUI [Benzene],はがね obj:B_K + Fender,4999,4606 (92%),30773,6.15
SP★5,BIG BEAT,Dai-katsugeki〔AMAZE Remix〕 [ZOI],minun♂ Remixed by AMAZE obj:SUZUKAZEΛ,4751,4034 (84%),30857,6.49
SP★5,Oriental Edge,MASAMUNE [三日月],NS-Factory obj:LAPIS,4146,3924 (94%),22192,5.35
SP★5,Techdance/Breakbeats,Flicker [E],Qga obj:Fender,4090,3907 (95%),18308,4.47
SP★5,Moombahcore,All is fair in Rage [ZOI],litmus* obj:SUZUKAZEΛ,3927,3747 (95%),18384,4.68
SP★5,,square and breaks -collapse-,LSD / obj:K-SPIN,3834,3687 (96%),18962,4.94
SP★5,Glitch Hop×electronica,LOVE THIS MOMENT [ManiaK],q/stol obj:krg,3743,3616 (96%),15003,4
SP★5,魚屋STEP,SHI☆O☆KA☆RA [Splatoon],長沼浩太(魚屋) vs 長沼浩太(気分転換くらいのノリで行きまーす) bga:長沼浩太(魚屋) vs 長沼浩太(ガオー破) ex.長沼浩太(間合い屋) obj:saaa(WiiU欲しいよね),3695,3539 (95%),25913,7.01
