曲名,フォルダ,BPM,NOTES/FREEZE(SHOCK)
"BRILLIANT 2U -""STREAM"" Special-(鬼)",SN2,150,340/6
Broken(激),GP/A3,148,381/43
Burning Heat! (3 Option Mix)(激),MAX2,166,413/5
B4U (The Acolyte mix)(激),GP/A20+,155,342/15
CaptivAte ~誓い~(激),SN2,160,420/15
Catch Our Fire!(踊),A,190,504/23
Colors (for EXTREME)(鬼),EXT,150,430/7
Condor(激),2013,142,363/14
CONNECT-(激),A20+,150,531/5
Cosmic Hurricane(激),X3,188,483/18
Cosy Catastrophe(踊),A,90-360,422/13
Crazy Hot(激),A20+,162,450/28
Crazy Shuffle(激),A20,128,417/23
CROSS(激),A20,150,447/23
Curry Up(激),A3,165,318/31
Dance Celebration (System 7 Remix)(激),X,132,314/31
Dance Dance Revolution (X-Special)(鬼),X,150,353/36
Dance Partay(鬼),2014,135,378/5
Dancer in the flare(激),A,132,358/3
DDR MEGAMIX(踊),A,65-333,441/3
DEADLOCK -Out Of Reach-(踊),A20+,205,509/39
ΔMAX(踊),X2,100-573,464/16
Destiny Lovers(激),EXT,170,358/14
DeStRuCtIvE FoRcE(激),A20+,89-177,416/17
Diamond Dust(鬼),X3,148,274/18(39)
dirty digital(鬼),X2,140,306/2
Dispersion Star(激),2014,180,340/23
DoLL(鬼),SN,170,431/51
DOWNER & UPPER(激),A20,140,381/36
♡Drive My Heart♡(激),A3,145,425/27
DROP OUT(激),4th,260,397/0
DUAL STRIKER(踊),A3,185,528/17
EGOISM 440(踊),2014,55-440(-880),428/5
Elysium(鬼),2014,145,403/30
ENDLESS(激),A20,150,472/14
ENDYMION(楽),A,220-440(110-880),473/15
Eon Break(踊),A3,(179-358?),422/14
escape(鬼),2013,140,352/10(35)
esrev:eR(激),2014,155,408/26
Eternal Summer(激),A,145,476/21
exotic ethnic(激),MAX,190,431/21
Far east nightbird kors k Remix -DDR edit ver-(激),A,175,393/11
Fascination -eternal love mix-(踊),SN,100-400,395/1
Fascination MAXX(踊),SN,100-400,397/7
Finale(激),A3,48-190,?/?(?)
Firestorm(踊),A20,177,396/11
Flow (Jammin' Ragga Mix)(激),SN2,70-140,309/25
Flow (True style)(鬼),SN,140-280,364/1
FLOWER(激),X3,173,442/11
Fly away -mix del matador-(激),SN2,130,372/15
Fly far bounce(激),A,(91-)163,385/6
Freeze(鬼),X2,140,268/54(23)
GAIA(踊),2013,90-180,482/19
Glitch Angel(踊),A20,165,365/15
Good Sound United(踊),A3,100-200,489/8
GRADIUSIC CYBER (AMD G5 Mix)(激),3rd,160,370/0
Grand Chariot(激),A,191,518/13
Habibe (Antuh muhleke)(激),2014,144,389/0
HANDS UP IN THE AIR(激),A,128,360/2
HAPPY☆LUCKY☆YEAPPY(踊),2014,190-380,376/8
Haunted Rhapsody(激),X3,155,363/16
Healing Vision (Angelic mix)(激),MAX,49-196,479/0
HEART BEAT FORMULA(激),X3,230,457/10
HEART BEAT FORMULA (Vinyl Mix)(激),2014,115,387/8
heron(鬼),2013,182,301/14(35)
High School Love(激),A,180,470/21
Hopeful(激),A,146,354/14
iFUTURELIST (DDR VERSION)(鬼),SN,150,355/6
Illegal Function Call(踊),A,130-260,477/6
I Love You(踊),A20,170,498/25
INSERTiON(激),5th,110-225,374/0
I WANT YOUR LOVE (Darwin remix)(激),GP/A3,170,411/0
jet coaster☆girl(激),A20+,177,383/7
Kilonova(踊),A3,150,525/40
KING(踊),A3,166,439/6
La receta(鬼),X2,130,361/19
LEADING CYBER(激),4th,150,359/0
Leaving...(鬼),X2,145,384/16
LEVEL UP(激),A20,180,394/16
LIKE A VAMPIRE(激),A20+,276,518/24
Lose Your Sense(踊),A3,44-175,470/18
Malacca(鬼),X,140,385/18
MA・TSU・RI(激),A3,160,469/36
MAX LOVE(鬼),X2,180,547/3
MAXX UNLIMITED(踊),MAX2,(48-)140-320,333/62
MAX 300 (Super-Max-Me Mix)(踊),SN,140-320,409/34
M.A.Y.U.(激),2014,128,420/8
ｍｅｍｏｒｙ／／ＤＡＴＡＭＯＳＨＥＲ(踊),A3,115-460,476/5
Mind Parasite(激),SN,145,330/26
MITOれて！いばらきっしゅだ～りん(激),2014,173,423/13
Monkey Business(激),2013,80-160,445/17
MOVE! (We Keep It Movin')(激),A20+,142,411/28
Mythomane(激),A20,140-180,416/8
New York EVOLVED (TYPE A)(踊),X3,48-380(95-380),437/44
New York EVOLVED (TYPE B)(踊),X3,48-380(48-190),430/17
New York EVOLVED (TYPE C)(踊),X3,48-380(48-190),402/6
Not Alone(踊),A3,155,374/5
No.13(激),SN,172,420/9
On The Break(激),X,85-170,370/18
ORION.78 (civilization mix)(激),MAX,200,398/0
osaka EVOLVED -毎度、おおきに！- (TYPE1)(踊),X3,50-300,359/21
osaka EVOLVED -毎度、おおきに！- (TYPE2)(踊),X3,50-300,359/21
osaka EVOLVED -毎度、おおきに！- (TYPE3)(踊),X3,50-300,375/24
PARANOiA ETERNAL(激),5th,200,381/5
PARANOiA ETERNAL (X-Special)(鬼),X,200,452/30
PARANOiA (kskst mix)(踊),X3,190,493/10
PARANOiA MAX ~DIRTY MIX~ (X-Special)(鬼),X,190,420/4
PARANOiA Rebirth(激),3rd,190,433/0
PARANOiA (X-Special)(鬼),X,180,371/12
PRANA+REVOLUTIONARY ADDICT (U1 DJ Mix)(踊),2014,190,489/5
PARTY ALL NIGHT(DJ KEN-BOW MIX)(激),A20+,135,426/24
printemps(激),2013,168,396/6
Puberty Dysthymia(踊),A,(67-)70-210,420/88
Pure Rude(踊),A3,175,561/1
PUT YOUR FAITH IN ME (DA's Twinkly Disco Remix)(激),X3,115,372/22
Rejoin(激),A,135,434/30
REVOLUTIONARY ADDICT(激),X3,174(-696),449/25
Right on time (Ryu☆Remix)(鬼),2013,149,217/6(63)
ROCK THE PARTY(踊),A3,128,483/25
SABER WING(激),X,74-222(-444),442/24
SABER WING(鬼),X,74-222(-444),389/18(59)
S・A・G・A(激),X,200-244,317/17
sakura storm(鬼),X2,184,388/8
Saturn(激),SN2,78-155,337/27
SAYONARA☆ディスコライト(激),A3,159,396/41
SCHWARZSCHILD FIELD(踊),A20+,150,412/6
Seta Para Cima↑↑(激),A20,140,420/6
SHION(激),A,179,507/8
siberite(激),A,128,463/4
Snow Garland Fairy(踊),A3,200,381/33
Somehow You Found Me(激),2013,180,406/0
Something Comforting(激),A3,144,437/30
SOUL CRASH(激),SN2,142,390/9
Sparkle Dreams(踊),A3,180,442/79
Splash Gold(踊),A20,75-300,448/36
Starry HEAVEN(鬼),2013,190,336/16
Star Trail(激),A,74-148,462/19
STERLING SILVER(激),A,175,486/6
stellar rain(激),A3,148,465/15
stoic (EXTREME version)(激),EXT,155,342/3
Straight Oath(激),2013,182,460/10
Strawberry Chu♡Chu♡(激),A,137,405/13
StrayedCatz(激),A,114-152,451/12
Struggle(激),2014,180,510/4
Summer fantasy (Darwin remix)(激),2014,178,348/21
Sweet Sweet ♥ Magic(激),MAX2,180,372/33
Sword of Vengeance(踊),A20+,208,566/14
take me higher(激),A20+,140,416/12
TAKE ME HIGHER※A3(踊),A3,140-175,378/12
Taking It To The Sky (PLUS step)(激),13,135,334/12
The Island Song(鬼),2013,85,350/19
The legend of MAX(踊),EXT,83-333(-666),357/29
Together Going My Way(激),A20+,155,340/25
tokyoEVOLVED (TYPE1)(踊),X3,70-280(-560),361/15
tokyoEVOLVED (TYPE2)(踊),X3,70-280(-560),355/15
tokyoEVOLVED (TYPE3)(踊),X3,70-280(-560),334/15
Too Late Snow(激),GP/A3,138,464/13
Tribe(鬼),X3,139,441/46
TRIP MACHINE survivor(激),EXT,(43-)170,347/2
Triple Cross(踊),A20+,196,477/9
TRUE♥LOVE (Clubstar's True Club Mix)(激),GP/A3,135,382/5
TSUBASA(激),2014,151,454/10
Twinkle Wonderland(激),A20+,188,335/44
Ubertreffen(激),X,174,405/9
Une mage blanche(激),A20,193,468/48
Uranus(鬼),SN2,81-162,402/0
V (for EXTREME)(鬼),EXT,150,448/4
Valkyrie dimension(楽),X2,47-744,349/9
VALLIS-NERIA(踊),GP/A3,185,498/31
Venus(鬼),SN2,195,436/20
volcano(激),SN2,240,436/18
voltississimo(踊),A20,113-225,462/28
Waiting(激),A20,180,401/5
WARNING×WARNING×WARNING(激),A3,172,440/52
We're so Happy(踊),A20+,185,542/6
What Will Come of Me(激),X2,140,371/9
WH1TE RO5E(激),X2,85-170,368/9
Wicked Plastik(激),X3,145,373/8
WILD SIDE(鬼),2013,165,420/39
xenon(激),EXT,158,375/11
Xepher(激),SN,170,442/14
X-ray binary(激),A20+,150,527/3
You are a Star(鬼),X2,155,391/32
You You You(激),A3,146,404/8
50th Memorial Songs -The BEMANI History-(激),A20,136,368/20
888(踊),X2,111-888(111-444),444/24
