曲名,フォルダ,BPM,NOTES/FREEZE(SHOCK)
oarfish(激),X2,140,252/118
on the bounce(踊),X,150,310/16
On the Night of a Still Wind(踊),A3,155,287/75
ONYX(踊),A20+,200,408/25
osaka EVOLVED -毎度、おおきに！- (TYPE1)(楽),X3,50-300,262/22
osaka EVOLVED -毎度、おおきに！- (TYPE2)(楽),X3,50-300,262/22
osaka EVOLVED -毎度、おおきに！- (TYPE3)(楽),X3,50-300,274/25
#OurMemories(鬼),A,140,350/1
Our Soul(激),A20,150,318/18
PARANOiA(激),1st,180,319/0
PARANOiA ~HADES~(楽),SN2,75-300,341/1
PARANOiA KCET ~clean mix~(激),2nd,180,351/0
PARANOiA -Respect-(楽),SN,300,345/10
PARANOIA survivor(踊),EXT,135-270,340/2
PARANOIA survivor MAX(踊),EXT,(73-)145-290,377/2
Party Lights(激),X,130,250/52
Party Lights (Tommie Sunshine’s Brooklyn Fire Remix)(激),2014,130,253/7
Party Rock Anthem(激),A20,130,295/19
Phlox(踊),A3,185,388/15
Pierce The Sky(踊),X2,85-170,361/35
Plan 8(踊),2014,212,416/23
Playa (Original Mix)(激),X,125,331/7
Polovtsian Dances And Chorus(激),SN,146,328/4
Poseidon(激),SN2,75-300,298/7
POSSESSION (20th Anniversary Mix)(楽),A,190-380,431/11
PRANA(踊),2013,188,369/8
Prey(楽),A,210,332/13
Procyon(踊),A20,160,283/19
Pump Pump Pump(踊),A3,156,376/15
PUNISHER(踊),2014,180,382/14
PUT YOUR FAITH IN ME (Jazzy Groove)(鬼),2nd,120,230/12
Quickening(激),SN,150,333/13
Quick Master(激),SN,147,273/11
rainbow flyer(激),SN,148,292/13
Racing with Time (NAOKI's 999 remix)(踊),A3,157,285/15
Raspberry ♥ Heart (English Version)(鬼),SN2,160,314/1
Realize(踊),A20+,206,286/38
Red Cape Theorem(踊),A20+,95,329/11
Re:GENERATION(踊),A20,176,382/26
resonance(激),X2,165,340/20
RЁVOLUTIΦN(踊),2013,202,391/43
Right Time Right Way(踊),A20,174,371/21
RISING FIRE HAWK(踊),A,157,402/5
Romancing Layer(踊),2014,150,278/10
ROOM(激),A20+,145,367/24
roppongi EVOLVED ver.A(踊),X2,170,337/30
roppongi EVOLVED ver.B(踊),X2,(85-)170,350/19
roppongi EVOLVED ver.C(踊),X2,(43-)170,368/16
roppongi EVOLVED ver.D(踊),X2,170(85-680),388/21
Run The Show(踊),A20+,150,310/17
Sacred Oath(激),X2,170,300/28
Sakura Mirage(踊),2014,187,337/20
Scorching Moon(激),SN,125,239/12
Second Heaven(激),X2,149,357/9
Seta Para Cima↑↑(踊),A20,140,314/7
SEXY PLANET(激),4th,180,262/0
☆shining☆(激),X2,185,379/26
Shiny World(踊),X2,(25-)100,272/6
Show me your moves(激),A,155,384/58
Silly Love(踊),A20,124-153,387/20
SILVER☆DREAM(踊),X3,96-192,377/18
Silver Platform -I wanna get your heart-(激),SN2,140,340/21
Skywalking(踊),A20,90-180,406/11
Something Special(激),X3,95,246/8
Spanish Snowy Dance(踊),2013,180,436/12
Sparkle Smilin'(踊),A20+,180,379/23
Special One(激),A,128,261/2
SPECIAL SUMMER CAMPAIGN!(踊),2014,168,312/17
SP-TRIP MACHINE (JUNGLE MIX) (X-Special)(鬼),X,160,254/18
Starlight Fantasia(踊),2014,148,355/30
Starlight in the Snow(踊),A20,150,308/26
starmine(踊),2014,182,338/15
Start a New Day(踊),A,168,347/38
Stay 4 Ever(激),A20,140,289/17
stealth(激),SN2,160,311/29
STEP MACHINE(踊),A20+,160,379/20
STERLING SILVER (U1 overground mix)(踊),A,185,348/6
STILL IN MY HEART (MOMO MIX)(鬼),MAX2,85-170,357/2
Straight Oath(踊),2013,182,320/10
Strawberry Chu♡Chu♡(踊),A,137,316/18
StrayedCatz(踊),A,114-152,336/11
Such A Feeling(踊),A3,120,226/19
Sucka Luva(激),2013,118,272/4
Summer fantasy (Darwin remix)(鬼),2014,178,208/16(83)
SUN² SUMMER STEP!(激),A,170,351/33
Take A Step Forward(激),X3,145,316/10
Take Me(激),A3,100,320/15
THE ANCIENT KING IS BACK(踊),A3,(160),433/31
the beat(踊),GP/A3,140,295/28
The Heavens Above(激),X3,140,301/31
The Least 100sec(踊),EXT,200-263,304/7
The Lonely Streets(激),2014,115,227/1
This Beat Is.....(激),A20,128,287/10
THIS NIGHT(激),X2,160,345/20
Towards The Horizon(踊),GP/A3,154,337/25
Toy Box Factory(踊),A20,148,343/14
Triple Counter(楽),A,216,375/11
TRIP MACHINE survivor(踊),EXT,(43-)170,289/2
TRIP MACHINE (X-Special)(鬼),X,160,258/22
Truare!(踊),2014,183,394/5
True Blue(踊),2014,164,380/9
TSUGARU (APPLE MIX)(鬼),MAX2,(80-)165,353/9
Twin Bee -Generation X-(激),EXT,169,242/15
TWINKLE♡HEART(激),X3,185,359/52
Twin memories W(激),A,160,379/25
Uh-Oh(踊),A20+,175,440/19
UNBELIEVABLE (Sparky remix)(踊),X3,88-175,354/34
Under the Sky(激),SN,170,197/21
Unreality(踊),A3,174,340/19
Uranus(激),SN2,81-162,344/7
Valanga(踊),GP/A3,186,435/20
VANESSA(踊),X2,185,327/17
VEGA(踊),2014,191,459/22
Vem brincar(激),SN2,135,261/31
Venus(激),SN2,195,355/22
VOLAQUAS(楽),A3,106-212,376/73
Waiting 4 u(激),X,175,329/15
Waiting 4 u(鬼),X,175,300/14(32)
We Can Win The Fight(激),GP/A20+,119,300/23
Why not(激),SN2,175,330/8
WILD SIDE(激),2013,165,339/21
will(激),X,145,283/15
Windy Fairy(踊),2013,180,345/26
Wolf's Rain(踊),A3,154,333/13
Wow Wow VENUS(激),2013,157,376/25
ZEPHYRANTHES(踊),A,180,422/22
ZETA ~素数の世界と超越者~(踊),X2,90-180,383/47
.59(激),4th,(123-)135,275/0
1998 (Sparky 2006)(踊),GP/A20+,150,323/9
321STARS(激),EXT,192,308/7
IX(楽),2014,99-396,355/29
