曲名,フォルダ,BPM,NOTES/FREEZE(SHOCK)
Death by Glamour(激),A3,148,?/?(?)
Determination(激),A,230,370/28
Diamond Night(鬼),2013,135,426/27
Draw the Savage(激),A20+,134,449/26
Easy Peasy(激),A3,160,482/12
Electric Dance System Music(激),A,140,506/2
Electronic Sports Complex(踊),A3,110-220,462/17
Elemental Creation(踊),2013,106-424,614/24
EMOTiON TRiPPER(激),A3,170,531/17
Empathetic(激),2013,180,487/11
Evans(踊),A20+,185(-370),490/8
F4SH10N(激),A20,140,408/23
FIRE FIRE(激),X2,150,571/5
Flip Flap(激),GP/A3,175,434/29
Follow Tomorrow(鬼),2014,140,518/18
FUNKY SUMMER BEACH(激),2014,88-175,457/7
GERBERA(踊),A3,102-205,625/36
Get Your Wish(激),A3,160(20-320),401/11
glacia(踊),GP/A3,186,512/16
Glitter Flatter Scatter(踊),GP/A3,98-197,529/8
GLOW THE CROWN(踊),A3,174,438/35
GHOST KINGDOM(激),A20+,118,356/14
Go Down(激),A3,126,439/41
GUILTY DIAMONDS(激),A20+,84-168,472/32
Healing-D-Vision(激),SN,180-360,421/2
Healing Vision (X-Special)(鬼),X,49-196,462/40
Hella Deep(激),A20+,132-150(72-576),459/21
HYENA(激),2014,89-178,482/20
IMANOGUILTS(激),2014,184,570/3
IRON HEART(激),A20,155,404/1
Ishtar(激),A,156,399/23
JOKER(鬼),2013,160,431/22
Jucunda Memoria(踊),A20+,(48.3-)145-290,505/17
JUST BELIEVE(激),GP/A3,160,375/15
KEEP ON MOVIN' (Y&Co. DJ BOSS remix)(激),X3,128,443/9
Lachryma《Re:Queen’M》(踊),A20,236,506/42
La libertad(鬼),X2,170,442/1
Let's DANCE aROUND!!(激),A3,63-126,379/92
Like A Star(激),A3,175,531/11
London EVOLVED ver.A(激),X3,(43-)170-340,433/4
London EVOLVED ver.B(激),X3,170-340(-420),479/35
London EVOLVED ver.C(激),X3,170-340,490/3
Love♡Shine わんだふるmix(鬼),A,177,441/25
mathematical good-bye(踊),A3,182,531/65
MAX.(period)(踊),2014,150-600,394/3
Midnight Amaretto(激),A20+,135,424/15
neko*neko(鬼),2014,123,450/1
NEPHILIM DELTA(激),X3,220,583/3
New Century(踊),A,98-195,442/43
New Decade(踊),X2,100-400,394/45
New Generation(激),2013,190,453/48
New Gravity(鬼),2013,154,471/1
nightbird lost wing(激),2013,190,496/20
No Life Queen [DJ Command Remix](激),A20+,165,609/21
ON-DO(激),A3,210,511/4
on the bounce(激),X,150,423/13
On the Night of a Still Wind(激),A3,155,451/99
ONYX(激),A20+,200,588/8
ORCA(踊),A20,39-310,428/8
PARANOIA EVOLUTION (X-Special)(鬼),X,200,382/1
PARANOiA Rebirth (X-Special)(鬼),X,190,463/22
PARANOiA Revolution(踊),X3,180-360,510/11
perditus†paradisus(踊),GP/A3,172,525/20
Pierce The Sky(激),X2,85-170,476/24
Plan 8(激),2014,212,533/23
Playing With Fire(激),GP/A3,160,446/28
Pluto(激),SN2,50-220,370/10
Pluto Relinquish(踊),SN2,100-800(-805),397/10
Pluto The First(踊),X2,50-440,395/11
Poseidon (kors k mix)(激),X2,(76-)152,393/19
POSSESSION(踊),X2,185-370,489/21
POSSESSION (20th Anniversary Mix)(踊),A,190-380,543/24
PRANA(激),2013,188,481/4
PUNISHER(激),2014,180,514/13
Pursuer(踊),A,75-300,392/17
Qwerty(激),A3,160,506/23
"Reach The Sky, Without you(踊)",A,(48-)95-190,461/21
Realize(激),A20+,206,412/23
Red Cape Theorem(激),A20+,95,506/22
RЁVOLUTIΦN(激),2013,202,573/16
Right on time (Ryu☆Remix)(激),2013,149,387/7
Right Time Right Way(激),A20,174,500/25
Romancing Layer(激),2014,150,437/18
Sakura Mirage(激),2014,187,438/10
Sakura Sunrise(激),X2,181,403/27
Samurai Shogun vs. Master Ninja(激),2014,260,572/22
Second Heaven(鬼),X2,149,470/12
second spring storm(激),2014,131,444/5
SHINY DAYS(鬼),A20+,110,350/26
Shiny World(激),X2,(25-)100,371/1
Show me your moves(鬼),A,155,521/34
Silly Love(激),A20,124-153,529/43
SISYPHUS(踊),A3,90-190,435/25
Six String Proof(激),A20,130,441/17
Sparkle Smilin'(激),A20+,180,580/16
Starlight Fantasia(激),2014,148,477/33
Starlight in the Snow(激),A20,150,453/29
STEP MACHINE(激),A20+,160,487/12
STERLING SILVER (U1 overground mix)(激),A,185,508/10
Such A Feeling(激),A3,120,342/17
Summer Fairytale(鬼),2013,141,420/19
SURVIVAL AT THE END OF THE UNIVERSE(踊),A3,150-200,513/3
suspicions(踊),A3,77-153,530/45
Synergy For Angels(激),2013,160,535/20
Tell me what to do(鬼),2013,145,483/28
THE ANCIENT KING IS BACK(激),A3,(160),597/25
the beat(激),GP/A3,140,428/26
The History of the Future(踊),A20,100-200,459/17
The Wind of Gold(激),2013,170,458/61
Tohoku EVOLVED(踊),X3,340(43-1020),495/2
Top The Charts(鬼),2013,160,426/19(22)
Triple Counter(踊),A,216,533/32
TRIP MACHINE CLIMAX (X-Special)(鬼),X,180,361/17
TYPHØN(踊),A20+,113-225,548/13
Uh-Oh(激),A20+,175,596/21
Unreality(激),A3,174,522/17
VEGA(激),2014,191,605/28
We Will Live Together(激),A3,175,471/21
Wolf's Rain(激),A3,154,431/4
Wowie Zowie!(激),GP/A3,128,412/6
Wuv U(激),GP/A3,173,402/17
Yuni's Nocturnal Days(激),A20+,153,487/14
1998 (Sparky 2006)(激),GP/A20+,150,452/13
50th Memorial Songs -Beginning Story-(激),A20,135,537/18
8000000(激),2014,100-200,528/1
888(激),X2,111-888(111-444),515/11
IX(踊),2014,99-396,521/33
