曲名,フォルダ,BPM,NOTES/FREEZE(SHOCK)
パーフェクトイーター(踊),A3,175,441/16
び(踊),A20,169,500/16
フー・フローツ(激),2013,180,428/7
ベビーステップ(激),A20,200,422/31
星屑の夜果て(踊),A20,174,491/30
ポジティブ☆ダンスタイム(激),A3,210,467/6
魔理沙は大変なものを盗んでいきました(激),A,170,513/0
三毛猫ロック(激),EXT,246(152-250),314/9
斑咲花(踊),A3,134-201,364/98
めうめうぺったんたん！！(激),2013,185,434/7
滅亡天使 † にこきゅっぴん(激),2014,200,409/10
ヤサイマシ☆ニンニクアブラオオメ(踊),A3,180,313/19
ユメブキ(踊),A20+,200,449/6
ルミナスデイズ(激),A,(95-)96-145,398/18
恋愛観測(激),A,188,434/12
恋愛観測 -2021真夏のエンディング ver.-(踊),A3,188,438/15
ロキ(w/緒方恵美)(激),A20+,150,370/18
炉心融解(激),A,165,408/3
ロストワンの号哭(激),A,162,515/0
ロンロンへ ライライライ!(激),A,156,390/16
海神(踊),2014,159,399/18
A(鬼),EXT,93-191,326/3
A Brighter Day(鬼),X2,155,364/19
Across the nightmare(激),EXT,300,305/12
ACROSS WORLD(激),2013,185,363/3
AFRONOVA PRIMEVAL(激),5th,200,423/0
Aftermath(踊),A20+,200,483/33
Ah La La La(激),2013,130,321/8
AI(踊),A20+,190,360/28
Alone(激),A20,142,366/3
ALPACORE(踊),A20,175,353/7
ANNIVERSARY ∴∵∴ ←↓↑→(踊),A,180,429/21
Astrogazer(踊),A,154,362/0
Bad Apple! feat.nomico(激),A,138,399/40
bass 2 bass(激),A,140,373/1
Battle Against a True Hero(踊),A3,75-150,?/?(?)
Beautiful Dream(激),2013,182,391/34
BE LOVIN(激),EXT,185,304/4
Better Than Me(踊),A20+,162,357/9
Be With You (Still Miss you)(激),A3,116,337/62
Blew My Mind(踊),2013,95-380,419/18
"Blind Justice ~Torn souls,Hurt Faiths~(激)",SN2,137-165,374/25
BLSTR(踊),A20,160,399/24
"BLUE FOG, SILVER BULLET.(踊)",A3,93-185,418/21
Bombay Bomb(激),2013,145,444/0
Brazilian Anthem(激),SN,130,269/12
BRE∀K DOWN!(激),MAX2,190,403/5
BREDLI(踊),A3,128,295/87
BRILLIANT 2U (Orchestra Groove)(鬼),2nd,150,309/0
BROKEN MY HEART(激),5th,160,360/0
BUTTERFLY (20th Anniversary Mix)(激),A20,140,445/20
cachaca(激),SN,128,249/19
CANDY☆ (X-Special)(鬼),X,192,337/43
CAN'T STOP FALLIN' IN LOVE (SPEED MIX)(激),5th,170,443/0
CG Project(激),X2,200,359/17
CENTAUR(激),SN,140,283/6
CHAOS(踊),SN,170,245/2
CHAOS Terror-Tech Mix(踊),A,165,401/16
chaos eater(踊),2014,105-210,413/2
chaplet(踊),A3,100-200,328/24
Children of the Beat(鬼),2013,160,443/14
Chinese Snowy Dance(踊),2013,175,365/25
CHOCOLATE PHILOSOPHY(鬼),A,110,400/20
Chromatic Burst(踊),A3,170,379/27
Chronos(激),X3,128,362/20
City Never Sleeps(踊),A20+,178,383/14
COME BACK TO MY HEART(激),X3,142,252/17
Come to Life(踊),A,90-180,415/30
Complete Game Victory(踊),A3,200,398/40
Concertino in Blue(踊),A3,103-155,323/10
concon(踊),A3,190,388/22
Confession(激),2013,150,310/41
Crazy Control(鬼),X2,105,274/0
CRAZY♥LOVE(踊),X3,89-177,419/52
Dance Celebration(鬼),X,130,308/10(26)
Dance Dance Revolution(激),EXT,150,352/0
Dance Dance Revolution(鬼),EXT,150,369/0
Dance Phenomena(激),A3,71-142,372/12
DEAD END(激),3rd,190,410/0
Desert Journey(激),2013,140,359/28
Destination(踊),2014,85-170,373/46
Diamond Night(激),2013,135,326/15
DIGITALIZER(踊),A20+,180,398/17
DIGITAL LUV(激),A20,154,388/26
Din Don Dan(鬼),2014,140,376/9
District of the Shadows(踊),A20,150,379/5
DoLL(激),SN,170,366/53
DOUBLE TORNARD(踊),GP/A3,153,373/15
Dreamin'(鬼),2014,128,377/8
DREAMING-ING!!(激),A,180,392/4
Drive Away(踊),A3,100-200,356/7
DROP OUT (FROM NONSTOP MEGAMIX)(鬼),MAX2,130,281/4
DXY!(激),5th,148,355/0
DYNAMITE RAVE(激),3rd,150,398/0
DYNAMITE RAVE(鬼),3rd,150,362/6
"D2R -""FREEZE"" Special-(鬼)",SN2,160,175/67
Electronic or Treat!(踊),2014,143-190,383/26
Electro Tuned (the SubS mix)(激),5th,125,349/0
Engraved Mark(踊),2014,188,425/4
Environ [De-SYNC] (feat. lythe)(踊),A3,160,340/33
ever snow(激),X3,145,447/7
Far east nightbird(激),A,180,453/7
Feelings Won't Fade (Extend Trance Mix)(激),SN2,144,356/23
Find The Way(激),2013,165,398/13
Find You Again(激),X3,150,284/8
Fleur(踊),A3,180,431/19
Flow(激),SN,140,311/2
Flow (True Style)(激),SN,140-280,311/2
Freeway Shuffle(鬼),SN2,145,372/5
Freeze(激),X2,140,290/54
Frozen Ray (for EXTREME)(激),EXT,156,395/3
FUJIMORI -祭- FESTIVAL(激),2014,158,391/10
Gamelan de Couple(激),EXT,150,298/0
Get Back Up!(激),X3,155,290/14
Get it(踊),A3,174,391/14
GIRIGILI門前雀羅(激),SN2,148,350/4
Give Me(踊),A20,174,362/7
GLITTER(踊),GP/A3,182,485/27
Go For The Top(踊),X3,74-180(-409),354/16
Going Hypersonic(踊),A20+,156,348/15
going up(激),X2,212,491/0
GOLD RUSH(激),X2,162,352/17
Golden Arrow(踊),A20,170,419/16
Good Looking(踊),A20+,170,417/1
Go To The Oasis(踊),A3,182,387/22
GRADIUS REMIX（↑↑↓↓←→←→BA Ver.)(激),A3,128,343/32
Grip & Break down !!(激),A,160,470/3
Ha・lle・lu・jah(激),A,150,349/5
HAPPY☆ANGEL(激),SN,180,386/5
Healing-D-Vision(踊),SN,180-360,349/2
Heaven is a '57 metallic gray (gimmix)(激),EXT,(63-)190,299/19
Helios(踊),A20,182,414/26
"Help me, ERINNNNNN!!(激)",A,180-184,349/2
heron(激),2013,182,357/15
High & Low(踊),A20+,210,418/8
Hold Tight(激),GP/A3,130,341/46
Hoping To Be Good(激),2013,120,256/1
HYPERDRIVE(激),A20+,150,395/11
HyperTwist(踊),A20+,190,391/12
I believe what you said(激),A20+,138,310/5
Idola(踊),2014,201,438/42
If(踊),A20+,170,350/15
i feel...(激),MAX2,141,331/2
iFUTURELIST (DDR VERSION)(激),SN,150,294/10
I'm Flying Away(激),GP/A20+,180,361/40
I'm so Happy(激),X2,181,383/17
IN BETWEEN(踊),A,160,314/36
INNOCENCE OF SILENCE(激),SN,71-142,296/9
insist(踊),A3,136,363/17
In the past(踊),A20+,81-162,379/17
I Want To Do This Keep(踊),A20+,150,355/14
I-W-U (I Want U)(踊),A3,150,429/17
Jetcoaster Windy(踊),A20+,268,427/13
Jewelry days(激),A,179,341/21
JOMANDA(踊),2014,90-600,396/27
Jungle Dance(踊),A3,155,415/23
KIMONO ♥ PRINCESS(踊),X2,95-190,366/28
KISS KISS KISS(激),EXT,150,332/31
KISS KISS KISS 秋葉工房 MIX(激),X2,160,357/17
La libertad(激),X2,170,384/1
L'amour et la liberté (DDR Ver.)(激),EXT,(140-)145,308/2
La Senorita Virtual(激),3rd,182,359/0
Last Card(踊),A20+,85-170,480/5
Last Twilight(踊),A20+,198,496/30
Last Summer(激),GP/A3,132,393/18
Life is beautiful(踊),A,155,430/13
Lightspeed(踊),A20+,200,446/10
Like A Star(踊),A3,175,351/43
LONG TRAIN RUNNIN' (20th Anniversary Mix)(激),A20,130,331/8
LoveLove DokiDoki(激),2014,160,485/28
LOVE SHINE (Body Grooverz 2006 mix)(踊),GP/A3,177,401/8
Love You More(踊),A,175,472/6
Make A Difference(激),SN,130,349/38
MAKE IT BETTER(So-REAL Mix)(鬼),2nd,118,237/10(29)
MAXIMIZER(激),SN,190,360/9
MAX 300(踊),MAX,(12-)300,373/35
MAX 360(楽),A,180-720,506/8
MAX.(period)(楽),2014,150-600,343/5
MEGALOVANIA(踊),A3,120-240,351/30(30)
Mermaid girl(鬼),X3,140,343/0(37)
Mess With My Emotions(激),GP/A3,130,355/10
MOONSTER(激),SN2,140,305/37
Musician(激),A3,120,310/38
MY SUMMER LOVE(激),4th,100,260/0
MY SUMMER LOVE (TOMMY'S SMILE MIX)(鬼),MAX2,100,295/11
NEPHILIM DELTA(踊),X3,220,466/3
Neutrino(踊),A,75-300,325/23
Neverland(踊),A20,160,382/29
Never See You Again(踊),A20+,80-160,459/23
New Beginning(鬼),X3,148,315/34(28)
New Gravity(激),2013,154,376/1
New Millennium(楽),A3,60-300,345/26
NGO(踊),SN2,68-274,259/10
ON-DO(踊),A3,210,369/5
One Sided Love(鬼),2014,140,265/30(65)
ORION.78 (AMeuro-MIX)(激),4th,105,320/0
ORION.78 (civilization mix)(踊),MAX,200,313/0
Our Love(踊),A20+,190,503/36
#OurMemories(激),A,140,382/23
out of focus(踊),A,84-167,272/19
ΩVERSOUL(踊),A20,155,387/19
Over The “Period”(楽),2014,23-840,388/43
PANIC HOLIC(踊),A20+,110-220,448/15
paparazzi(踊),A20+,280,462/10
PARADISE(激),A3,125,346/19
PARANOiA EVOLUTION(激),4th,200,375/0
PARANOiA MAX ~DIRTY MIX~(激),2nd,190,340/0
PARANOiA -Respect-(踊),SN,300,413/26
PERSIAN LAND(踊),A3,90-180,475/20
Play Hard(激),A20,130,380/7
Pluto(踊),SN2,50-220,293/17
Pluto Relinquish(楽),SN2,100-800(-805),342/36
Poochie(踊),A,110-220,412/22
Poppin' Soda(踊),A20+,200,416/8
POSSESSION(EDP Live Mix)(踊),2014,185,445/61
Private Eye(激),X3,160,291/44
Programmed Universe(激),X3,37-147,357/12
Qipchaq(激),2013,150,309/16
rain of sorrow(激),MAX2,140,315/4
Rampage Hero(踊),A20,175,381/12
Rave Accelerator(踊),A20+,170,403/6
Rave in the Shell(踊),A3,75-300,403/12
RED ZONE(激),SN,165,357/6
Remain(踊),2014,75-300,325/5
Rescue Me(激),X3,145,308/0
Riot of Color(踊),A20+,75-150,342/23
Rise As One(踊),A3,90-180,434/17
SABER WING (AKIRA ISHIHARA Headshot mix)(踊),X,79-316,357/10
SABER WING (satellite silhouette remix)(激),2014,138,371/18
Sacred Oath(鬼),X2,170,336/31
Samurai Shogun vs. Master Ninja(踊),2014,260,349/6
Sand Blow(踊),2014,83-165,395/10
Scarlet Moon(激),2014,180,417/5
Seasons(激),X3,168,331/46
Secret Rendez-vous(激),MAX2,98,237/12
Sector(踊),A3,80-160,380/34
SEDUCTION(激),SN,95-190,385/13
SEDUCTION (Vocal Remix)(激),SN,190,376/1
Sephirot(激),A,154,466/3
Settin' the Scene(激),GP/A3,110,321/4
Seule(激),X3,125,313/13
Share The Love(激),X3,158,296/8
She is my wife(激),X2,85-170,314/13
Shine(鬼),X2,125,259/23
Shout It Out(踊),A20+,205,466/35
S!ck(踊),A,88-177,372/33
SigSig(激),X3,179,416/26
Six String Proof(踊),A20,130,327/15
Ska Ska No.3(激),SN,138,244/2
SKY HIGH (20th Anniversary Mix)(激),A20,145,311/8
Sky Is The Limit(激),X2,150,294/35
SMASH(踊),A3,80-160,441/13
Smiling Passion(激),A,187,376/15
smooooch・∀・(激),X2,177,412/29
snow prism(激),X3,196,416/18
SODA GALAXY(激),A20,178,400/18
sola(激),2013,135,413/16
SOUVENIR(激),A3,158,367/26
spring pony(踊),A3,150,402/14
Star Gate Heaven (FUTURE LOVE Mix)(激),SN2,147,335/10
Starlight Fantasia (Endorphins Mix)(踊),2014,78-155(39-310),395/15
Starry Sky(激),A20,150,367/23
STAY GOLD(踊),A3,41-330,353/18
STAY (Joey Riot remix)(激),A3,150,366/3
Stella Sinistra(踊),2014,110-180,344/16
Step This Way(踊),A20+,176,435/7
STULTI(踊),2013,90-182,335/30
SUNKiSS ♥ DROP(激),SN2,185,422/14
SUNKiSS ♥ DROP(鬼),SN2,185,348/14
SUPER HERO(激),2014,180,283/2
SUPER SAMURAI(踊),X,170,400/2
SUPER STAR(激),4th,128,289/0
SUPER SUMMER SALE(踊),A,155,472/19
Surface(激),A3,150,313/40
Sweet Clock(激),A20+,178,490/16
SWEET HOME PARTY(踊),A20,(70-)134-180,314/12
Sweet Rain(激),2013,155,454/27
sync (EXTREME version)(鬼),EXT,167,328/8
Taj He Spitz (Tommie Sunshine's Brooklyn Fire Re-Touch)(激),X,120,335/5
TEARS(激),EXT,143,360/6
TECH-NOID(激),A,146,377/15
Teleportation(踊),A3,170,356/15
Tell me what to do(激),2013,145,403/3
Thank You Merry Christmas(激),2014,220,429/41
The Least 100sec(激),EXT,200-263,429/2
The Lonely Streets(鬼),2014,115,284/15
The Night Away(MK Remix)(激),A,160,383/20
Theory of Eternity(激),X2,160,419/6
THE REASON(激),2013,85-98,290/5
The World Ends Now(踊),A20,200,441/13
THIS IS MY LAST RESORT(踊),A20+,110-220,433/16
Top The Charts(激),2013,160,304/22
Towards the TOWER(激),A,132,362/6
toy boxer(踊),A20,190,365/7
Trigger(踊),X,100-400,377/11
Trill auf G(踊),A20,188,417/17
Triple Journey -TAG EDITION-(踊),2013,96-192,416/13
TRIP MACHINE CLIMAX(激),4th,180,342/0
TRIP MACHINE EVOLUTION(踊),X3,190(95-380),399/7
TRIP MACHINE ~luv mix~(激),3rd,160,293/0
TRIP MACHINE PhoeniX(踊),SN2,(80-)160,283/1
TRIP MACHINE (xac nanoglide mix)(踊),X3,170,399/29
TSUGARU(激),MAX2,(80-)165,366/8
Unity(激),GP/A3,120,327/6
Unreal(踊),SN2,90-180,307/0
Until the End(激),X3,172,387/7
Vertigo(踊),A20+,150-174,368/14
V (for EXTREME)(激),EXT,150,365/12
VANITY ANGEL(激),EXT,140,325/17
Vanquish The Ghost(踊),A,78-155(-310),360/29
Votum Stellarum -forest ＃25DDR RMX-(激),SN2,140,357/0
Wings of an Angel(Fly With Me)(激),X3,175,343/23
Worst Plan(踊),A3,150,394/20
Yeah! Yeah!(激),A,150,302/14
You are a Star(激),X2,155,352/26
50th Memorial Songs -二人の時 ～under the cherry blossoms～-(激),A20,160,444/11
50th Memorial Songs -Flagship medley-(激),A20,135-175,384/13
