 , ,ジャンル名 (タイプ),曲名,bpm,Time,Notes,難易度
[écl], ,カラフルトイズ・ワンダーランド(H),カラフルトイズ・ワンダーランド,180, ,989,中(0.0)
[écl], ,きゅん×きゅんばっきゅん☆LOVE(EX),きゅん×きゅんばっきゅん☆LOVE,165, ,949,中(0.0)
[écl],[版],チルノのパーフェクトさんすう教室(H),チルノのパーフェクトさんすう教室,175, ,922,強(+0.5)
[écl], ,透明はまだらに世界を告げて(H),透明はまだらに世界を告げて,210,1:48,922,中(0.0)
[écl], ,僕の気持ちを描く(EX),僕の気持ちを描く,170, ,888,中(0.0)
[écl], ,僕らの旅はどこまでも(H),僕らの旅はどこまでも,110～220, ,783,個人差(-1.5)
[écl], ,ユメユメアラウンド～だってYou＆Me～(EX),ユメユメアラウンド～だってYou＆Me～,185, ,979,中(0.0)
[écl], ,凛として咲く花の如く ～ひなビタ♪ edition～(H),凛として咲く花の如く ～ひなビタ♪ edition～,163, ,1017,中(0.0)
[écl], ,Endless Moon -LUNA-(H),Endless Moon -LUNA-,212,1:52,885,中(0.0)
[écl], ,INHERITANCE of WILL(H),INHERITANCE of WILL,184, ,865,強(+0.5)
[écl], ,Into the Wind(H),Into the Wind,120,2:00,853,中(0.0)
[écl], ,Windy Fairy(H),Windy Fairy,180, ,767,弱(-0.5)
[うさ], ,雨と鳥籠(EX),雨と鳥籠,113, ,902,強(+0.5)
[うさ], ,キルト(Patchworker RMX)(H),キルト(Patchworker RMX),188, ,912,弱(-0.5)
[うさ],[版],君氏危うくも近うよれ(EX),君氏危うくも近うよれ,162, ,846,中(0.0)
[うさ],[版],ドーナツホール(EX),ドーナツホール,252, ,993,中(0.0)
[うさ], ,懐色坂(H),懐色坂,155, ,703,弱(-0.5)
[うさ], ,蟲の棲む処(H),蟲の棲む処,161, ,674,中(0.0)
[うさ], ,メンテナンス物語(H),メンテナンス物語,152, ,770,弱(-0.5)
[うさ], ,モヘア(EX),モヘア,140, ,929,弱(-0.5)
[うさ], ,badass girl(H),badass girl,172,1:47,831,中(0.0)
[うさ], ,BILLION MONEY BAZOOKA(H),BILLION MONEY BAZOOKA,176, ,922,中(0.0)
[うさ], ,Drizzly Venom(H),Drizzly Venom,147～168, ,781,弱(-0.5)
[うさ], ,Funky sonic World(H),Funky sonic World,400, ,847,弱(-0.5)
[うさ], ,La fame di Adria(H),La fame di Adria,190～241, ,694,中(0.0)
[うさ], ,nalca(H),nalca,136, ,765,強(+0.5)
[うさ], ,SPACE CRASH LANDING(H),SPACE CRASH LANDING,184, ,893,中(0.0)
[うさ], ,STERLING SILVER(H),STERLING SILVER,175, ,863,中(0.0)
[うさ],[版],Strawberry Chu♡Chu♡(H),Strawberry Chu♡Chu♡,274,1:50,787,中(0.0)
[うさ], ,SUPER SUMMER SALE(H),SUPER SUMMER SALE,155, ,904,弱(-0.5)
[うさ], ,Welcome!!(H),Welcome!!,180,1:58,816,中(0.0)
[pe],[版],一触即発☆禅ガール(H),一触即発☆禅ガール,190, ,691,弱(-0.5)
[pe], ,ウラ・ヒップロック2(H),男々道,156～180, ,917,強(+0.5)
[pe], ,おーまい！らぶりー！すうぃーてぃ！だーりん！(H),おーまい！らぶりー！すうぃーてぃ！だーりん！,170,2:00,902,中(0.0)
[pe], ,カウボーイ(UPPER)(H),Blue River,134,1:59,848,弱(-0.5)
[pe], ,革命パッショネイト(H),革命パッショネイト,194,1:59,926,中(0.0)
[pe], ,カドルコア(H),murmur twins,174,1:53,790,中(0.0)
[pe], ,元禄花吹雪(H),元禄花吹雪,170, ,810,強(+0.5)
[pe], ,少女と時の花(H),少女と時の花,112,2:07,847,弱(-0.5)
[pe], ,飛べないぼくと鳴かない黒猫(H),飛べないぼくと鳴かない黒猫,120,2:00,703, 
[pe],[版],ドラマツルギー(EX),ドラマツルギー,149, ,752,強(+0.5)
[pe],[版],ナイト・オブ・ナイツ(H),ナイト・オブ・ナイツ,180, ,767,弱(-0.5)
[pe], ,にじいろ☆とらべらぁず(H),にじいろ☆とらべらぁず,71～200,2:00,919,強(+0.5)
[pe], ,ネオクラシカル・ヘヴィメタル(UPPER)(H),Aithon,126,1:46,859,強(+0.5)
[pe], ,爆裂再生！フィーバー戦士ポップン14(H),爆裂再生！フィーバー戦士ポップン14,167, ,920,中(0.0)
[pe], ,叛逆のディスパレート(H),叛逆のディスパレート,194, ,817,強(+0.5)
[pe],[版],無頼ック自己ライザー(EX),無頼ック自己ライザー,150,1:58,933,弱(-0.5)
[pe], ,プロレタリア狂騒歌(H),プロレタリア狂騒歌,190, ,860,中(0.0)
[pe],[版],ぼくらの16bit戦争(H),ぼくらの16bit戦争,122, ,729,中(0.0)
[pe], ,祭ノ痕、君ヲ憶フ。(H),祭ノ痕、君ヲ憶フ。,152, ,801,弱(-0.5)
[pe], ,50th Memorial Songs -The BEMANI History-(H),50th Memorial Songs -The BEMANI History-,136, ,750,弱(-0.5)
[pe], ,BLACK JACKAL(H),BLACK JACKAL,150,1:50,820,弱(-0.5)
[pe], ,Blind(H),Blind,160,　,897,弱(-0.5)
[pe], ,BLSTR(H),BLSTR,160, ,857,強(+0.5)
[pe],[版],Floccinaucinihilipilification(H),Floccinaucinihilipilification,200, ,882,詐称(+1.0)
[pe], ,Little Little Princess(H),Little Little Princess,180～211, ,970,中(0.0)
[pe], ,place of the sky(EX),place of the sky,115, ,875,弱(-0.5)
[pe], ,Sulk(H),Sulk,150, ,917,強(+0.5)
[pe], ,Welcome to pop'n fantasy(H),Welcome to pop'n fantasy,180, ,806,弱(-0.5)
[解], ,浅見文彦の事件簿～迷宮荘のワンピース(H),浅見文彦の事件簿～迷宮荘のワンピース,88～206, ,817,強(+0.5)
[解],[版],空狐の消えた日(EX),空狐の消えた日,125, ,816,強(+0.5)
[解], ,コルドバの女(H),コルドバの女,142, ,723, 
[解],[版],セツナトリップ(UPPER)(H),セツナトリップ,145,1:57,875,強(+0.5)
[解], ,天和無双(H),天和無双,180, ,956,詐称(+1.0)
[解],[版],夏空Shining(EX),夏空Shining,124, ,885,中(0.0)
[解], ,波と凪の挟間で(H),波と凪の挟間で,117～177, ,842, 
[解], ,ハニートリック！！(H),ハニートリック！！,160～190, ,815,強(+0.5)
[解], ,霽れと褻と穢れ(H),霽れと褻と穢れ,136, ,883,弱(-0.5)
[解], ,ブルーローズイノセンス(H),ブルーローズイノセンス,145, ,855,強(+0.5)
[解], ,AsiaN distractive(H),AsiaN distractive,132～157, ,901,弱(-0.5)
[解], ,Double Dribble(H),Double Dribble,210, ,786,強(+0.5)
[解], ,enigma(H),enigma,140, ,867,強(+0.5)
[解], ,Inside Insight(H),Inside Insight,145, ,795,弱(-0.5)
[解], ,Medieval Action(H),Medieval Action,160, ,749,逆詐称(-1.0)
[解], ,Poppin' Soda(H),Poppin' Soda,200, ,928,弱(-0.5)
[解], ,Red Cape Theorem(H),Red Cape Theorem,95, ,728,弱(-0.5)
[解], ,say...but in vain(H),say…but in vain,90～180, ,787, 
[解], ,Shades of Day(H),Shades of Day,190, ,824,中(0.0)
[解],[版],sparkle(EX),sparkle,177, ,862, 
[解], ,Watchdog The Sleeper(H),Watchdog The Sleeper,135, ,812,逆詐称(-1.0)
[UL], ,パーフェクトイーター(H),パーフェクトイーター,175, ,991, 
[UL],[版],無意識のフィロソフィア(H),無意識のフィロソフィア,160, ,888, 
[UL], ,ラブケミ(H),ラブケミ,121, ,930, 
[UL], ,Amulet of Enbarr(H),Amulet of Enbarr,160, ,824, 
[UL], ,HAGURUMA(H),HAGURUMA,100～174, ,1001, 
[UL], ,High Speed Junkie!(H),High Speed Junkie!,175～185, ,846, 
[UL], ,mathematical good-bye(H),mathematical good-bye,182, ,955, 
[UL], ,MA・TSU・RI(H),MA・TSU・RI,160, ,939, 
[UL],[版],Strawberry Kiss(EX),Strawberry Kiss,183, ,815, 
[UL], ,Sword of Vengeance(H),Sword of Vengeance,208, ,964, 
[CS2], ,J-ガラージポップ(EX),Miracle Moon(お月さまが中継局),128,1:43,778,中(0.0)
[CS3], ,ドリーミー(EX),penguin,143, ,756,弱(-0.5)
[CS8], ,ケシゴム(H),School Life,77～155,2:01,761,強(+0.5)
[CS10], ,クラシック10(H),Doll's sight,50～200,2:01,620,強(+0.5)
[CS11], ,カウボーイ(H),Blue River,134,1:59,848,弱(-0.5)
[CS12], ,フォレストスノウ(H),月雪に舞う花のように,70～125,2:19,874,中(0.0)
[CS12], ,プリティ雅(H),突確全回転！,196,1:41,768,中(0.0)
[CSBest], ,エレクトロ(EX),Invisible Lover,145,1:59,830,強(+0.5)
[PMP], ,シンパシー4(EX),Cloudy Skies,149,1:52,937,中(0.0)
[ee], ,ジャパメタ(H),Craze for You,166～333,1:47,783,個人差(-1.5)
[ee], ,ビートロック(H),memories,187,2:00,928,中(0.0)
[ee], ,プログレッシブ(H),The Least 100sec,200～263,1:42,675,個人差(-1.5)
[ee], ,ミクスチャー(H),VOIDDD,135,1:41,633,弱(-0.5)
[ee], ,メロパンク2(H),lime-light,180,1:41,784,中(0.0)
[ee2], ,イーラップ2(H),Pinky Nick,169～189,1:45,682,弱(-0.5)
[ee2], ,昭和初期カヨウ(H),悪アガキ,200,1:44,776,弱(-0.5)
[ee2], ,ションボリ(H),純勉夏,206,1:39,812,強(+0.5)
[ee2], ,ディスコアゴーゴー(EX),Dance the night away,125,1:38,711,中(0.0)
[ee2], ,ハイパーJロック(H),brave!,180,1:38,814,強(+0.5)
[ee2], ,ラブポップ(EX),大好きだよ,106,1:55,815,中(0.0)
[ee2], ,ロッテルダムテクノ(H),rottel-da-sun,199,1:30,692,中(0.0)
[ee2], ,J-ロック(H),Romance,206,1:57,954,強(+0.5)
